NumeroArticulo;ReferenciaProveedor;Descripcion;CodigoEAN;NombreProveedor;ImagenURL;FichaTecnica;Manual;Precio
1;;BOLSA;4009900550062;CENTRAL ALMACENES SANEAMIENTO;;;;0.12
100022;111700;FUNDA CUADRANTE BORDE BORDADO 65X65 BLAN;2500001003843;PRIM STYLE SAS;;;;28.93
100023;111720;FUNDA COJIN BORDADO 50X70 BLANCO;111720;PRIM STYLE SAS;;;;28.93
100024;111680;FUNDA NORDICA 240X220 BORDADA BLANCA;2500001003867;PRIM STYLE SAS;;;;119.83
100052;677;ESCURREPLATOS HIERRO ANT 34X32X46H NEGRO;2500001004147;PRIM STYLE SAS;;;;56.2
100068;R6960000;[DISC] CAMARA INSPECCION ROSCOPE 1000;4004625696002;ROTHENBERGER WERKZEUGE GMBH;;;;925.95
100074;36300102003;TUBERIA SUPERFLEX AIR 100mm 3mts;8429253365100;ESPIROFLEX SA;;;;20.37
100075;36300127003;TUBERIA SUPERFLEX AIR 125mm 3mts;8429253365216;ESPIROFLEX SA;;;;24.12
100091;NJ1PV25BL;PERFIL NOVOJUNTA 25X2500 BLANCO;8430089012175;EMAC COMPLEMENTOS S.L;;;;10.81
100094;G8230294;DISCO CORTE PIEDRA 230MM 2MM PERFECT (ref. ant: B8230294);G8230294;LOFES 90 SL;;;;2.77
100095;C24R-230;DISCO PIEDRA DRONCO 230MM 3MM;4081600157000;AGHASA TURIS SA;;;;2.58
100098;5700.08;DESINCRUSTANTE CILLIT-FFW 10KG;2500001004604;BWT IBERICA SA;;;;57.6
100099;5700.11;NEUTRALIZ.CILLIT-NEUTRA (POLVO) 300GR;9022000609794;BWT IBERICA SA;;;;46.2
100121;303281;DESCALCIFICADOR ATH COMPACT-700/030 30L;843261116281;BEST WATER TECHNOLOGY - ATH, S.L.;;;;469
100121;303281;DESCALCIFICADOR ATH COMPACT-700/030 30L;843261116281;BEST WATER TECHNOLOGY - ATH, S.L.;;;;469
100126;1205 04;GRIFO MEDICAL FRONTAL 1/2' AGUA CROMO;8428381011538;GENEBRE SA;;;;44
100130;71523;LAMINA DRENANTE 2X30MTS.(60M2);8435288323053;SOPREMA IBERIA SLU;;;;171
100137;36317000;MON EUROSMART COSMO TEMPORIZ LAV CROMO;4005176896514;GROHE ESPAÑA S.A.;;;;365.13
100195;7.09112E+14;MESA BITTA 150X75 MAMOL/MANGANESE;2500001005571;KETTAL SL;;;;
100202;70241;LLAVE DE CORREA 108 3';4004625702413;ROTHENBERGER WERKZEUGE GMBH;;;;49.45
100234;6110000;[DISC] COJIN 45X45 MORADO;2500001005960;KETTAL SL;;;;82.64
10024;2401100;[DISC] ESCOBILLERO MINIMALISM CRMATE;8429960011819;INDUSTRIAS COSMIC S.A.;;;;75.08
100240;POZ10-1374AT;[DISC] ARQUETA RIEGO 40X40X36 VERDE;8000000000000;GRUPO EM DAKOTA PENINS.IBERICA;;;;85.6
